School Name,School Type,Category,Address,Longitude,Latitude,Phone Number,Website,Board,Start of class,End of class,Language
A. Lorne Cassidy Elementary School,Public,Elementary,27 rue Hobin St,45.2621284,-75.9333989,(613) 831-3434,https://alornecassidyes.ocdsb.ca/,Ottawa-Carleton District School Board,9:15,3:45,
A.Y. Jackson Secondary School,Public,Secondary,150 prom. Abbeyhill Dr,45.29454265,-75.87863728,(613) 836-2527,https://ayjacksonss.ocdsb.ca/,Ottawa-Carleton District School Board,9:15,3:20,
Abraar School,Private,Elementary,70 rue Fieldrow St,45.343764,-75.73976026,(613) 226-1396,http://www.abraarschool.com/,N/A,,,
Abraar Secondary School,Private,Secondary,1085 ave. Grenon Ave,45.35171755,-75.7946131,(613) 820-0044,http://www.abraarschool.com/,N/A,,,
Acadecap International School,Private,Elementary,"1010 prom. Morrison Dr, Suite 200",45.3467502,-75.79079988,(613) 721-3872,https://www.acadecap.org/,N/A,,,
Adrienne Clarkson Public School,Public,Elementary,170 prom. Stoneway Dr.,45.2881526,-75.71746141,(613) 825-8600,https://adrienneclarksones.ocdsb.ca/,Ottawa-Carleton District School Board,,,
Adult High School,Public,Secondary,300 rue Rochester St,45.40422275,-75.70992889,(613) 239-2707,https://adulths.ocdsb.ca/,Ottawa-Carleton District School Board,,,
Agincourt Road Public School,Public,Elementary,1250 ch. Agincourt Rd,45.36092535,-75.75269387,(613) 225-2750,https://agincourtps.ocdsb.ca/,Ottawa-Carleton District School Board,,,
Ahlul-Bayt Islamic School,Private,Elementary,200 rue Baribeau Street,45.438324,-75.6674002,(613) 526-0774,https://abischool.com/,N/A,,,
Al-Furqan Islamic School,Private,Elementary,2825 av. Dumaurier Ave,45.3511415,-75.79453802,(613) 680-7261,https://schools.macnet.ca/ottawaalfurqan/,N/A,,,
Alain-Fortin Catholic Elementary School,Public,Elementary,676 prom. Lakeridge Dr,45.44778885,-75.47372356,(613) 749-7454,https://alain-fortin.ecolecatholique.ca/,Conseil des écoles catholiques du Centre-Est,,,French
All Saints High School,Public,Secondary,5115 av. Kanata Ave,45.32122635,-75.924358,(613) 271-4254,https://ash.ocsb.ca/,Ottawa Catholic School Board,,,
Alta Vista Public School,Public,Elementary,1349 av. Randall  Ave,45.3838681,-75.66452575,(613) 733-7124,https://altavistaps.ocdsb.ca/,Ottawa-Carleton District School Board,,,
Ambassadors Christian School,Private,Elementary,2031 rue Stittsville Main St,45.28176124,-75.9347088,(613) 400-4022,https://www.ambassadorschristianschool.ca/,N/A,,,
Arch Street Public School,Public,Elementary,2129 rue Arch St,45.39198075,-75.62942123,(613) 733-0205,https://archstreetps.ocdsb.ca/,Ottawa-Carleton District School Board,,,
Ashbury College,Private,Elementary,362 av. Mariposa Ave,45.4474868,-75.67658255,(613) 749-5954,https://ashbury.ca/,N/A,,,
Assumption School,Public,Elementary,236 rue Lévis St,46.7312561,-72.56528834,(613) 746-4822,https://asu.ocsb.ca/,Ottawa Catholic School Board,,,
Astolot Education Centre,Private,"Elementary, Secondary",203 - 1187 rue Bank St,45.3921356,-75.6814067,(613) 260-5996,https://www.astolot.com/,N/A,,,
Avalon Public School,Public,Elementary,2080 boul. Portobello Blvd,45.4582399,-75.46677368,(613) 834-7313,https://avalonps.ocdsb.ca/,Ottawa-Carleton District School Board,,,
Barrhaven Public School,Public,Elementary,80 prom. Larkin  Dr,45.2812247,-75.76371362,(613) 825-2691,https://barrhavenps.ocdsb.ca/,Ottawa-Carleton District School Board,,,
Bayshore Public School,Public,Elementary,145 crois. Woodridge  Cr,45.3495861,-75.81031968,(613) 828-8698,https://bayshoreps.ocdsb.ca/,Ottawa-Carleton District School Board,,,
Bayview Public School,Public,Elementary,185 prom. Owl Dr,45.3551648,-75.66584852,(613) 733-4726,https://bayviewps.ocdsb.ca/,Ottawa-Carleton District School Board,,,
Béatrice-Desloges Catholic High School,Public,Secondary,1999 av. Provence Ave,45.46802095,-75.45760908,(613) 820-3391,https://beatrice-desloges.ecolecatholique.ca/,Conseil des écoles catholiques du Centre-Est,,,French
Bell High School,Public,Secondary,40 ch. Cassidy Rd,45.3264476,-75.8095646,(613) 828-9101,https://bellhs.ocdsb.ca/,Ottawa-Carleton District School Board,,,
Bells Corners Public School,Public,Elementary,3770 ch. Old Richmond Rd,45.3242556,-75.82520626,(613) 828-3100,https://bellscornersps.ocdsb.ca/,Ottawa-Carleton District School Board,,,
Bernard-Grandmaître Catholic Elementary School,Public,Elementary,4170 ch. Spratt Rd,45.28500125,-75.68277151,(613) 820-3814,https://bernard-grandmaitre.ecolecatholique.ca/,Conseil des écoles catholiques du Centre-Est,,,French
Berrigan Elementary School,Public,Elementary,199 prom. Berrigan Dr,45.28051655,-75.73837197,(613) 825-0092,https://berriganes.ocdsb.ca/,Ottawa-Carleton District School Board,,,
Bill Mason Outdoor Education Centre,Public,Outdoor Education,3088 ch. Dunrobin Rd,45.2696105,-75.80027734,(613) 833-2080,https://www.ocdsb.ca/continuing_education/outdoor_education/bill_mason_centre_programs,Ottawa-Carleton District School Board,,,
Bishop Hamilton Christian Montessori School,Private,Elementary,2199 terr. Regency Terr,45.4345352,-76.03319061,(613) 596-4013,https://bhsmontessori.ca/,N/A,,,
Blossom Park Public School,Public,Elementary,3810 rue Sixth St,45.3494184,-75.77226354,(613) 521-4299,https://blossomparkps.ocdsb.ca/,Ottawa-Carleton District School Board,,,
Blue Sky School,Private,"Elementary, Secondary",95 cour Denzil Doyle Crt.,45.3505326,-75.62450757,(613) 884-5437,https://blueskyschool.ca/,N/A,,,
Blyth Academy,Private,Secondary,352 av. Danforth Ave,45.289487,-75.87199253,(613) 627-7356,https://www.blytheducation.com/our-campuses/ottawa,N/A,,,
Briargreen Public School,Public,Elementary,19 crois. Parkfield Cr,45.39097985,-75.75412471,(613) 828-5027,https://briargreenps.ocdsb.ca/,Ottawa-Carleton District School Board,,,
Bridlewood Community Elementary School,Public,Elementary,63 prom. Bluegrass Dr,45.33797185,-75.77747198,(613) 591-3683,https://bridlewoodes.ocdsb.ca/,Ottawa-Carleton District School Board,,,
Broadview Avenue Public School,Public,Elementary,535 av. Dovercourt Ave,45.2849097,-75.86167616,(613) 728-1721,https://broadviewps.ocdsb.ca/,Ottawa-Carleton District School Board,,,
Brookfield High School,Public,Secondary,824 ch. Brookfield Rd,51.39604839,-0.113857534,(613) 733-0610,https://brookfieldhs.ocdsb.ca/,Ottawa-Carleton District School Board,,,
Cairine Wilson Secondary School,Public,Secondary,975 boul. Orléans Blvd,45.37166705,-75.68462465,(613) 824-4411,https://cairinewilsonss.ocdsb.ca/,Ottawa-Carleton District School Board,,,
Cambridge Street Community Public School,Public,Elementary,250 rue Cambridge St  N,45.48288175,-75.53932518,(613) 239-2216,https://cambridgeps.ocdsb.ca/,Ottawa-Carleton District School Board,,,
Canterbury High School,Public,Secondary,900 av. Canterbury Ave,45.40812215,-75.7054695,(613) 731-1191,https://canterburyhs.ocdsb.ca/,Ottawa-Carleton District School Board,,,
Carleton Heights Public School,Public,Elementary,1660 prom. Prince Of Wales Dr,45.3875621,-75.62584903,(613) 224-7922,https://carletonheightsps.ocdsb.ca/,Ottawa-Carleton District School Board,,,
Carson Grove Elementary School,Public,Elementary,1401 ch. Matheson Rd,45.13355264,-75.71815422,(613) 745-0195,,Ottawa-Carleton District School Board,,,
Castlefrank Elementary School,Public,Elementary,55 prom. McCurdy Dr,45.43683495,-75.62299107,(613) 592-8071,,Ottawa-Carleton District School Board,,,
Castor Valley Elementary School,Public,Elementary,2630 ch. Grey’s Creek Rd,45.30520035,-75.89734257,(613) 821-1272,,Ottawa-Carleton District School Board,,,
Catholic College Franco-Ouest,Public,Secondary,411 prom. Seyton Dr,45.21259399,-75.51501097,(613) 820-2920,,Conseil des écoles catholiques du Centre-Est,,,French
Catholic College Mer Bleue,Public,Secondary,6401 chemin Renaud Road,45.43621595,-75.50417414,(613) 744-4022,,Conseil des écoles catholiques du Centre-Est,,,French
Catholic elementary school -Star Eastern Townships ,Public,Elementary,6220 prom. Beauséjour Dr,45.45681,-75.532272,(613) 744-5713,,Conseil des écoles catholiques du Centre-Est,,,French
Catholic Elementary School Discovery,Public,Elementary,866 av. Scala Ave,45.4651776,-75.46100684,(613) 744-5894,,Conseil des écoles catholiques du Centre-Est,,,French
Catholic Elementary School Horizon-Jeunesse,Public,Elementary,235 av. McArthur Ave,45.4325403,-75.6587725,(613) 741-8515,,Conseil des écoles catholiques du Centre-Est,,,French
Catholic Elementary School in The Heart of Ottawa,Public,Elementary,88 rue Main St,45.98024455,-66.65899034,(613) 216-0017,,Conseil des écoles catholiques du Centre-Est,,,French
Catholic Elementary School La Verendrye,Public,Elementary,614 prom. Eastvale Dr,45.4603732,-75.59810817,(613) 749-2349,,Conseil des écoles catholiques du Centre-Est,,,French
Catholic Elementary School Our Place,Public,Elementary,665 prom. des Aubépine Dr ,45.44752725,-75.48430561,(613) 744-1486,,Conseil des écoles catholiques du Centre-Est,,,French
Catholic Elementary School Pioneer,Public,Elementary,720 prom. Merkley Dr,45.4737884,-75.4818747,(613) 744-2448,,Conseil des écoles catholiques du Centre-Est,,,French
Catholic Elementary School Rainbow Sky,Public,Elementary,1830 boul. Portobello Blvd,45.47138025,-75.47085694,(613) 744-0486,,Conseil des écoles catholiques du Centre-Est,,,French
Catholic Elementary School Reine des Bois,Public,Elementary,1450 rue Duford St,45.44418439,-75.6577644,(613) 744-8647,,Conseil des écoles catholiques du Centre-Est,,,French
Catholic Elementary School St. Kateri,Public,Elementary,2450 ch. River Mist Road,45.24573375,-75.73607717,(613) 741-6754,,Conseil des écoles catholiques du Centre-Est,,,French
Catholic Elementary School Voyageurs,Public,Elementary,6030 prom. Voyageur Dr,45.474038,-75.55238787,(613) 744-8345,,Conseil des écoles catholiques du Centre-Est,,,French
Catholic High School Paul Desmarais,Public,Secondary,5315 rue. Abbott St E,45.25855382,-75.92073342,(613) 744-2618,,Conseil des écoles catholiques du Centre-Est,,,French
Cedar Ridge High School,Private,Secondary,275 prom. Michael Cowpland Dr.,45.284906,-75.87455334,(613) 592-9019,,N/A,,,
Cedarview Middle School,Public,Intermediate,2760 ch. Cedarview Rd,45.276404,-75.78099914,(613) 825-2185,,Ottawa-Carleton District School Board,,,
Centennial Public School,Public,Elementary,376 rue Gloucester St,45.414865,-75.7046436,(613) 239-2277,,Ottawa-Carleton District School Board,,,
Centre Jules-Léger,Private,Elementary,281 av. Lanark Ave,45.3993354,-75.75385433,(613) 761-9300,,N/A,,,
Chapel Hill Catholic School,Public,Elementary,1534 prom. Forest Valley Dr,45.44922045,-75.53529565,(613) 837-3773,,Ottawa Catholic School Board,,,
Chapman Mills Public School,Public,Elementary,260 Leamington Way,45.26897695,-75.73061292,(613) 823-3336,,Ottawa-Carleton District School Board,,,
Charles H. Hulse Public School,Public,Elementary,2605 prom. Alta Vista Dr,45.3744615,-75.65929293,(613) 521-8535,,Ottawa-Carleton District School Board,,,
Charlotte-Lemieux Public Elementary School,Public,Elementary,2093 prom. Bel-Air Dr,47.31360718,-0.594239351,(613) 228-2613,,Conseil des écoles publiques de l'Est de l'Ontario,,,French
Churchill Alternative School,Public,Elementary,345 av. Ravenhill Ave,45.3904875,-75.75368591,(613) 722-4474,,Ottawa-Carleton District School Board,,,
Clifford Bowey Public School,Public,Special Education,1300 av. Kitchener Ave,45.3678008,-75.65650203,(613) 737-4401,,Ottawa-Carleton District School Board,,,
Colonel By Secondary School,Public,Secondary,2381 ch. Ogilvie Rd,45.4552945,-75.60030438,(613) 745-9411,,Ottawa-Carleton District School Board,,,
Community Christian School,Private,Elementary,"2681 rue Glen St, RR3",45.23188645,-75.47597564,(613) 821-3669,,N/A,,,
Connaught Public School,Public,Elementary,1149 av. Gladstone Ave,45.4006703,-75.72610062,(613) 728-4671,,Ottawa-Carleton District School Board,,,
Continuing Education,Public,Secondary,181 rue Donald St,45.427879,-75.6612198,(613) 741-2304,,Conseil des écoles catholiques du Centre-Est,,,French
Continuing Education,Public,Continuing Education,440 rue Albert St,48.33966783,-70.88106296,(613) 239-2325,,Ottawa-Carleton District School Board,,,
Convent Glen Catholic School,Public,Elementary,6212 boul. Jeanne D'arc Blvd,45.4733135,-75.54703929,(613) 824-8541,,Ottawa Catholic School Board,,,
Convent Glen Elementary School,Public,Elementary,1708 prom. Grey Nuns Dr,45.47024,-75.53609553,(613) 824-8177,,Ottawa-Carleton District School Board,,,
Corpus Christi School,Public,Elementary,798 rue Lyon St South,45.40147335,-75.69108919,(613) 232-9743,,Ottawa Catholic School Board,,,
Crystal Bay Centre for Special Education,Public,Special Education,31 prom. Moodie Dr,45.349516,-75.84411602,(613) 828-5376,,Ottawa-Carleton District School Board,,,
D. Roy Kennedy Public School,Public,Elementary,919 av. Woodroffe Ave,45.36529245,-75.76959144,(613) 728-1993,,Ottawa-Carleton District School Board,,,
De la Salle Public High School,Public,Secondary,501 rue Old St-Patrick St,46.8148143,-71.2089486,(613) 789-0053,,Conseil des écoles publiques de l'Est de l'Ontario,,,French
Des Pins Catholic Elementary School,Public,Elementary,1487 prom. Ridgebrook Dr,45.421577,-75.605064,(613) 741-2354,,Conseil des écoles catholiques du Centre-Est,,,French
Des Sentiers Public Elementary School,Public,Elementary,2159 rue Nantes St,45.45974755,-75.460676,(613) 837-9726,,Conseil des écoles publiques de l'Est de l'Ontario,,,French
Devonshire Community Public School,Public,Elementary,100 av. Breezehill Ave,45.4055218,-75.71889959,(613) 729-3169,,Ottawa-Carleton District School Board,,,
Divine Infant School,Public,Elementary,8100 boul. Jeanne D'arc Blvd,45.4863925,-75.51345644,(613) 824-1060,,Ottawa Catholic School Board,,,
Dr. F. J. McDonald Catholic School,Public,Elementary,2860 av. Ahearn Ave,45.3601257,-75.80091655,(613) 829-3878,,Ottawa Catholic School Board,,,
Dunlop Public School,Public,Elementary,1310 ch. Pebble Rd,45.36109785,-75.64976056,(613) 521-4611,,Ottawa-Carleton District School Board,,,
Dunning-Foubert Elementary School,Public,Elementary,1610 prom. Prestwick Dr,45.4668102,-75.49903839,(613) 824-5800,,Ottawa-Carleton District School Board,,,
Earl Of March Secondary School,Public,Secondary,4 The Parkway,45.3231296,-75.89580502,(613) 592-3361,,Ottawa-Carleton District School Board,,,
École élémentaire publique Mamawi,Public,Elementary,"20 Harrison Street, Nepean ON",45.3364796,-75.78899802,(613) 596-213,https://mamawi.cepeo.on.ca/,Conseil des écoles publiques de l'Est de l'Ontario,8,2:30,French
Edelweiss Private Academy,Private,Elementary,21 privé Nadolny Sachs Priv,45.3759599,-75.7521003,(613) 225-9273,,N/A,,,
Édouard-Bond Individualized Instruction Catholic Elementary School,Public,Elementary,920 av. Parkhaven Ave,45.3628612,-75.776885,(613) 820-4045,,Conseil des écoles catholiques du Centre-Est,,,French
Educara Montessori Child Care,Private,Elementary,275 prom. Tartan Dr,45.2607872,-75.76651795,(613) 702-1116,,N/A,,,
Elgin Street Public School,Public,Elementary,310 rue Elgin St,45.415741,-75.69010761,(613) 239-2231,,Ottawa-Carleton District School Board,,,
Élisabeth-Bruyère Catholic Elementary School,Public,Elementary,100 prom. Stonehaven Dr,45.287224,-75.84615255,(613) 521-0176,,Conseil des écoles catholiques du Centre-Est,,,French
Elizabeth Wyn Wood Alternate Program (Nepean),Public,Alternate Program,20 av. Rossland Ave,45.353218,-75.73750368,(613) 225-8826,,Ottawa-Carleton District School Board,,,
Elmdale Public School,Public,Elementary,49 rue Iona St,45.3943575,-75.7358972,(613) 728-4653,,Ottawa-Carleton District School Board,,,
Elmwood  School,Private,Elementary,261 ch. Buena Vista Rd,45.45160825,-75.68035341,(613) 744-7783,,N/A,,,
Emily Carr Middle School,Public,Intermediate,2681 ch. Innes Rd,45.43384625,-75.56220226,(613) 824-5455,,Ottawa-Carleton District School Board,,,
Fallingbrook Community Elementary School,Public,Elementary,679 crois. Deancourt Cr,45.4813036,-75.48683932,(613) 830-8817,,Ottawa-Carleton District School Board,,,
Family Reception Centre,Public,Centre,300 rue Rochester St,45.40422275,-75.70992889,(613) 239-2416,,Ottawa-Carleton District School Board,,,
Farley Mowat Public School,Public,Elementary,75 prom. Waterbridge Dr,45.28160085,-75.70921706,(613) 825-3006,,Ottawa-Carleton District School Board,,,
Featherston Drive Public School,Public,Elementary,1801 prom. Featherston Dr,45.383841,-75.64605849,(613) 731-3357,,Ottawa-Carleton District School Board,,,
Fern Hill School,Private,Elementary,50 rue Vaughan St,45.44041355,-75.67785538,(613) 746-0255,,N/A,,,
Fielding Drive Public School,Public,Elementary,777 prom. Fielding Dr,45.36256,-75.67855815,(613) 731-4928,,Ottawa-Carleton District School Board,,,
First Avenue Public School,Public,Elementary,73 av. First Ave,52.96812335,-1.10550825,(613) 239-2261,,Ottawa-Carleton District School Board,,,
First Place Alternate Program,Public,Alternate Program,160 rue Percy St,45.4096996,-75.7027904,(613) 239-2544,,Ottawa-Carleton District School Board,,,
Fisher Park Public School / Summit Alternate School,Public,Intermediate,250 av. Holland Ave,45.397563,-75.73136025,(613) 729-5054,,Ottawa-Carleton District School Board,,,
Forest Valley Elementary School,Public,Elementary,1570 prom. Forest Valley Dr,45.44922045,-75.53529565,(613) 824-0733,,Ottawa-Carleton District School Board,,,
Franco-Cité Catholic Secondary School,Public,Secondary,623 ch. Smyth Rd,45.40128755,-75.64094729,(613) 521-4999,,Conseil des écoles catholiques du Centre-Est,,,French
Francojeunesse Public Elementary School,Public,Elementary,119 rue Osgoode St,45.4245583,-75.68045933,(613) 232-0020,,Conseil des écoles publiques de l'Est de l'Ontario,,,French
Frank Ryan Catholic Intermediate School,Public,Intermediate,128 prom. Chesterton Dr,45.3511434,-75.72248576,(613) 224-8833,,Ottawa Catholic School Board,,,
Frederick Banting Secondary Alternate Program,Public,Alternate Program,1453 rue Stittsville Main St,45.28176124,-75.9347088,(613) 591-7678,,Ottawa-Carleton District School Board,,,
Gabrielle-Roy Public Elementary School,Public,Elementary,3395 ave. D'Aoust Ave,45.34845425,-75.63462873,(613) 523-8429,,Conseil des écoles publiques de l'Est de l'Ontario,,,French
Ganon Preschool,Private,Elementary,21 privé Nadolny Sachs Priv,45.3759599,-75.7521003,(613) 798-9818,,N/A,,,
